,,Q Learning Algorithm,,no-obstacle

,Shortest Path
X-X-X-X,0.9,0.8
0.9,197,101
0.9,101,101
0.9,101,101

0.8,101,101
0.8,101,96
0.8,96,96


,Longest Path
X-X-X-X,0.9,0.8
0.9,433,528
0.9,1010,1010
0.9,1664,1664

0.8,1664,1664
0.8,1664,1664
0.8,1664,1664


,Total time
X-X-X-X,0.9,0.8
0.9,0:00:01.457166,0:00:01.834984
0.9,0:00:03.558869,0:00:01.390525
0.9,0:00:05.600189,0:00:01.406913

0.8,0:00:05.621160,0:00:03.225412
0.8,0:00:05.464498,0:00:02.100013
0.8,0:00:02.315698,0:00:03.615091


,Q Table
XXXXXX,0.9,,0.8,
,Final,Full,Final,Full
0.9,64,122,72,112
0.9,72,138,56,106
0.9,73,144,59,119

0.8,73,144,73,143
0.8,73,143,60,95
0.8,69,122,70,124

